OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length,Containment_Duration,Month,Decade,C_METHOD_DESCRIPTION,CAUSE_DESCRIPTION
190,2023,CA,USF,LPF,RINCONADA,00002238,2023-08-11 00:00:00+00:00,2023-08-13 00:00:00+00:00,14.0,3.0,1.0,96.37685,2020.0,583837.12890625,4259.82355543257,48.0,8,2020,Aerial Suppression (Planes & Helicopters),Unknown
191,2023,CA,USF,LPF,GIFFORD,00001190,2023-05-19 00:00:00+00:00,2023-05-20 00:00:00+00:00,14.0,3.0,1.0,48.99358,2020.0,296880.8359375,2127.61087413387,24.0,5,2020,Aerial Suppression (Planes & Helicopters),Unknown
192,2023,CA,USF,SHF,CARAWAY,00001104,2023-08-28 00:00:00+00:00,2023-08-31 00:00:00+00:00,1.0,6.0,1.0,11.8399,2020.0,84188.1640625,1504.035864404,72.0,8,2020,Natural Barriers (Using Terrain Features),Lightning
193,2023,CA,USF,STF,BONE,00000896,2023-06-16 00:00:00+00:00,2023-07-18 00:00:00+00:00,14.0,5.0,1.0,1180.618,2020.0,7716500.45703125,20201.0479820502,768.0,6,2020,Fireline Construction (Bulldozers & Trenching),Unknown
194,2023,CA,USF,LPF,TECUYA,00002100,2023-08-02 00:00:00+00:00,2023-08-20 00:00:00+00:00,14.0,7.0,1.0,76.19935,2020.0,458969.375,5270.88527219459,432.0,8,2020,Mop-up (Extinguishing Hot Spots),Unknown
195,2023,CA,USF,ANF,VISTA,00002138,2023-07-10 00:00:00+00:00,2023-07-11 00:00:00+00:00,14.0,6.0,1.0,25.90652,2020.0,155243.765625,1782.72358961969,24.0,7,2020,Natural Barriers (Using Terrain Features),Unknown
196,2023,CA,USF,STF,PEAK,00001971,2023-09-11 00:00:00+00:00,2023-11-16 00:00:00+00:00,14.0,6.0,1.0,836.8499,2020.0,5496972.05859375,16129.7951331611,1584.0,9,2020,Natural Barriers (Using Terrain Features),Unknown
197,2023,CA,USF,SQF,RABBIT,00002146,2023-09-30 00:00:00+00:00,2023-10-30 00:00:00+00:00,14.0,2.0,1.0,2857.988,2020.0,18038140.1992188,34420.2469633329,720.0,9,2020,Indirect Attack (Firebreaks & Barriers),Unknown
199,2023,CA,USF,MDF,RIM,00000938,2023-09-19 00:00:00+00:00,2023-09-23 00:00:00+00:00,14.0,7.0,1.0,20.04021,2020.0,146670.1484375,2260.13845410547,96.0,9,2020,Mop-up (Extinguishing Hot Spots),Unknown
200,2023,CA,USF,SHF,SULPHER,00000992,2023-08-15 00:00:00+00:00,2023-12-31 00:00:00+00:00,14.0,7.0,1.0,31.21948,2020.0,218677.4453125,2238.91909568431,3312.0,8,2020,Mop-up (Extinguishing Hot Spots),Unknown
